# stage, id, task_id, link_type, link_id, artifact_type, file_name, target_file
'After', '1710', '149', 'test_metrics', '210', 'ai_prompt', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggestion.prompt.txt', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188'
'After', '1711', '149', 'test_metrics', '210', 'Optimzation set_file', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188'
'After', '1712', '149', 'test_metrics', '210', 'optimization_report', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-OptimizationReport.htm', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188'
'After', '1713', '149', 'test_metrics', '210', 'optimization_report_gif', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-OptimizationReport.gif', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188'
'Before', '1703', '149', 'test_metrics', '210', 'input_gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'After', '1703', '149', 'test_metrics', '210', 'input_gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'Before', '1701', '149', 'test_metrics', '210', 'input_html', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'After', '1701', '149', 'test_metrics', '210', 'input_html', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'Before', '1702', '149', 'test_metrics', '210', 'input_set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'After', '1702', '149', 'test_metrics', '210', 'input_set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'Before', '1700', '149', NULL, NULL, 'set_file', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set'
'After', '1700', '149', 'test_metrics', '210', 'set_file', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set'
'Before', '1660', '149', 'test_metrics', '206', 'output_set', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182.set', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
'Before', '1661', '149', 'test_metrics', '206', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
